reference,modele,ecart_pct,ic_bas,ic_haut,significatif
XGBoost v3,DART,-1.8319690771572583,-5.023012440944816,0.841652740236309,False
XGBoost v3,MLP,-1.9455990488574715,-7.893536635385037,5.249238313738134,False
XGBoost v3,XGBoost C,-36.80955142024273,-43.835387449797345,-23.997675531169147,True
XGBoost v3,LSTM,-51.6938616303588,-57.239805646988295,-43.35600823454409,True
DART,MLP,-0.11575048478820182,-5.365618474860206,8.038127986284914,False
DART,XGBoost C,-35.63031876495195,-42.354400042540355,-23.107878429632926,True
DART,LSTM,-50.79239349558877,-56.11194890718089,-41.54906548941543,True
MLP,XGBoost C,-35.55572420329902,-43.30066983025816,-22.815412682846514,True
MLP,LSTM,-50.73536944689443,-55.7642800037998,-42.07940162101722,True
XGBoost C,LSTM,-23.554683571093026,-33.47961399472787,-17.344010887813752,True
