annonce,observe,effectif,ecart,methode
7.911949226177812e-07,0.0,1056493,7.911949226177812e-07,platt
1.3457530293685564e-06,7.572229605146088e-06,1056492,-6.226476575777531e-06,platt
2.216750693581818e-06,8.518758305789349e-06,1056492,-6.302007612207531e-06,platt
3.682247229316741e-06,1.4197917070912917e-05,1056493,-1.0515669841596177e-05,platt
6.229660851410471e-06,2.7449306337098304e-05,1056493,-2.1219645485687834e-05,platt
1.083135102748632e-05,2.6502803618011306e-05,1056492,-1.5671452590524987e-05,platt
1.9319633750984392e-05,7.193631742846596e-05,1056490,-5.261668367748156e-05,platt
3.5774537282713654e-05,0.00011547639217675838,1056493,-7.970185489404473e-05,platt
7.108866487357954e-05,0.0001628026283159204,1056494,-9.171396344234086e-05,platt
0.00015812125616831928,0.0002820655527916917,1056492,-0.00012394429662337245,platt
0.0004387019016031794,0.0004287770955415701,1056493,9.9248060616093e-06,platt
0.003759876270599234,0.0028613535536913164,1056493,0.0008985227169079177,platt
