,importance
part_maquis,0.26176706
danger_effis,0.13735957
erc,0.11103055
part_veg_mutation,0.042122316
distance_cote_km,0.039148994
fwi,0.037354216
log_superficie,0.027458582
ffmc,0.026105976
part_veg_clairsemee,0.025986409
part_agricole,0.02360861
part_combustible,0.021107625
dmc,0.017921623
bui,0.016356057
amplitude_altitude,0.015267006
sin_mois,0.014927024
mois,0.014322459
isi,0.013217944
log_population,0.010753162
kbdi,0.010686071
part_coniferes,0.010016805
doy,0.00954689
part_melangees,0.009360895
fwi_j1,0.008580151
ffmc_j1,0.007915288
altitude_moy,0.0077312994
part_landes,0.0070533524
grille_densite,0.0067830854
cos_mois,0.006610111
dc,0.006544191
part_feuillus,0.0062792776
part_foret,0.0062228963
sin_doy,0.005591314
log_densite,0.0053401813
cos_doy,0.0051730922
part_artificialise,0.0048289155
clc_millesime,0.0048275376
est_weekend,0.003774315
est_ferie,0.0034657551
jour_semaine,0.0034080725
est_15_aout,0.0025584952
est_14_juillet,0.0018868338
