,importance
taux_commune_lisse,0.25318047
feux_commune_365j,0.110711165
danger_effis,0.07375884
feux_commune_90j,0.070248894
jours_depuis_dernier_feu,0.06483756
ratio_commune_cluster,0.06447619
feux_commune_30j,0.038816873
erc,0.03287201
fwi,0.027917251
lat,0.019921338
ffmc,0.019595165
taux_cluster_lisse,0.015580231
sin_mois,0.010961969
fwi_j1,0.01093661
isi,0.009507643
dmc,0.008961516
mois,0.008890308
distance_cote_km,0.0088652335
feux_commune_7j,0.008792946
log_superficie,0.007691087
bui,0.007378369
doy,0.0070122047
lon,0.0060376516
cos_mois,0.005016593
part_maquis,0.004907565
amplitude_altitude,0.004863926
part_coniferes,0.0048519773
part_combustible,0.004819433
sin_doy,0.0048084627
part_agricole,0.0047833677
part_veg_clairsemee,0.0045656743
ffmc_j1,0.0045549856
part_veg_mutation,0.004552484
log_population,0.0044248584
dc,0.004424499
kbdi,0.00437789
part_landes,0.0042268587
cos_doy,0.004106533
part_foret,0.004099863
clc_millesime,0.0038912096
altitude_moy,0.0038706898
part_melangees,0.0037214402
cluster_id,0.0036334181
part_feuillus,0.0034891616
part_artificialise,0.0033725512
log_densite,0.0033236307
grille_densite,0.0033209457
est_ferie,0.0031328113
est_weekend,0.0029226874
jour_semaine,0.0029029218
est_15_aout,0.0020819716
est_14_juillet,0.0
